scaler,selected_threshold_from_oof,oof_precision,oof_recall,oof_f1,oof_pr_auc,external_precision,external_recall,external_f1,external_pr_auc,external_tp,external_tn,external_fp,external_fn
standard,0.85,0.380547686496695,0.8520084566596194,0.5261096605744126,0.7126896102533815,0.5893639370915493,0.8465891704623393,0.6949379112423815,0.7468849569880794,240698,116610,167705,43617
minmax,0.41000000000000003,0.04772385034171203,0.8710359408033826,0.09048978695365693,0.7010036067560186,0.9996357687440195,0.569530274519459,0.7256374635895138,0.964011852712307,161926,284256,59,122389
