threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.01,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.02,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.03,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.04,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.05,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.060000000000000005,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.06999999999999999,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.08,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.09,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.09999999999999999,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.11,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.12,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.13,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.14,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.15000000000000002,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.16,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.17,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.18000000000000002,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.19,0.001667101358352777,0.001667101358352777,1.0,0.0033286535139110274,473,0,283253,0
0.2,0.0016706258855374552,0.0016671072341175434,1.0,0.003328665226356273,473,1,283252,0
0.21000000000000002,0.0016706258855374552,0.0016671072341175434,1.0,0.003328665226356273,473,1,283252,0
0.22,0.0016706258855374552,0.0016671072341175434,1.0,0.003328665226356273,473,1,283252,0
0.23,0.0016706258855374552,0.0016671072341175434,1.0,0.003328665226356273,473,1,283252,0
0.24000000000000002,0.0016741504127221333,0.0016671131099237288,1.0,0.0033286769388839433,473,2,283251,0
