scaler,cost_ratio_fp_fn,selected_threshold_from_oof,oof_cost,external_precision,external_recall,external_f1,external_cost
standard,1:5,0.97,615,0.6121384499073261,0.7062624202029439,0.6558405609891124,544801
standard,1:10,0.97,1065,0.6121384499073261,0.7062624202029439,0.6558405609891124,962371
standard,1:20,0.88,1901,0.5924290538837643,0.8267731213618698,0.6902531952223993,1146736
minmax,1:5,0.48000000000000004,634,1.0,0.08597506287040782,0.15833708491088516,1299355
minmax,1:10,0.47000000000000003,1140,0.9999687138253606,0.11241756502470851,0.20211333067744197,2523531
minmax,1:20,0.45,2130,0.9996426308864378,0.21644654696375498,0.35584429101759013,4455542
