feature,coef,abs_coef
V4,0.5110781004297531,0.5110781004297531
V14,-0.5000859084065729,0.5000859084065729
V12,-0.37188834432668394,0.37188834432668394
V10,-0.20474940039357237,0.20474940039357237
V11,0.1956480811079789,0.1956480811079789
V3,-0.18194038143491886,0.18194038143491886
V8,-0.1590594138366963,0.1590594138366963
V16,-0.12960556119513944,0.12960556119513944
Amount_z,0.1277036825552476,0.1277036825552476
V13,-0.11015891962405118,0.11015891962405118
V9,-0.10578356910704888,0.10578356910704888
V6,-0.10312155225139479,0.10312155225139479
V1,-0.08988188303068934,0.08988188303068934
V22,0.08288443623989226,0.08288443623989226
V5,0.07077845177695205,0.07077845177695205
V2,0.058080158049989394,0.058080158049989394
V26,-0.05773806893909884,0.05773806893909884
V7,-0.05686813783790101,0.05686813783790101
V23,-0.05127699776026704,0.05127699776026704
V21,0.04538391201795212,0.04538391201795212
V17,-0.04312799633066741,0.04312799633066741
V28,0.033914583980264645,0.033914583980264645
V19,-0.032462202101762615,0.032462202101762615
V27,0.030534925689515272,0.030534925689515272
V18,0.025633788085828512,0.025633788085828512
V15,-0.021489748053677624,0.021489748053677624
V20,-0.011160838095136925,0.011160838095136925
V24,-0.004590504432036563,0.004590504432036563
V25,0.002204701680595847,0.002204701680595847
