threshold,precision,recall,f1,tp,tn,fp,fn
0.05,0.5078550777466863,0.9996482774387563,0.6735327678200088,284215,8892,275423,100
0.1,0.5225319434608121,0.9965038777412377,0.6855731782418638,283321,25428,258887,994
0.15000000000000002,0.5320865246969579,0.9922656208782512,0.6927154822091975,282116,36224,248091,2199
0.2,0.539352189710932,0.9877952271248439,0.6977316176059566,280845,44452,239863,3470
0.25,0.5453628717660643,0.9834197984629724,0.7016309850778479,279601,51228,233087,4714
0.3,0.5504047457452723,0.9783620280322881,0.7044830022768312,278163,57099,227216,6152
0.35000000000000003,0.5550108167336274,0.9727344670523891,0.7067646115532885,276563,62576,221739,7752
0.4,0.5589679414787005,0.966188910187644,0.7082138805816233,274702,67572,216743,9613
0.45,0.5625474657421166,0.9587534952429524,0.709056738741668,272588,72343,211972,11727
0.5,0.5660133209657595,0.9507904964563952,0.709597484210692,270324,77046,207269,13991
0.55,0.569603701254659,0.9422647415718481,0.7100055390503046,267900,81888,202427,16415
0.6000000000000001,0.5728835687205226,0.9322054763202786,0.7096526306065811,265040,86713,197602,19275
0.6500000000000001,0.576239838651436,0.9205001494820886,0.7087788952276749,261712,91855,192460,22603
0.7000000000000001,0.579483503296644,0.9069834514534935,0.7071559124820208,257869,97186,187129,26446
0.7500000000000001,0.5830345732739267,0.8905931800995375,0.7047188321899223,253209,103229,181086,31106
0.8,0.5869313791942968,0.8710444401456131,0.7013056153779714,247651,110024,174291,36664
0.8500000000000001,0.5912479676896475,0.8454566238151346,0.6958626199932838,240376,118134,166181,43939
0.9000000000000001,0.5971081348948956,0.8094578196718428,0.6872537294267486,230141,129030,155285,54174
0.9500000000000001,0.6069128093312366,0.7479661642896084,0.6700971155239889,212658,146580,137735,71657
