threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.01,0.5003323778203753,0.5001662441660613,1.0,0.6668144228829818,284315,189,284126,0
0.02,0.50083709969576,0.500418900509369,1.0,0.6670389187172788,284315,476,283839,0
0.03,0.503107468828588,0.5015586051410154,0.9999824138719379,0.6680467310801158,284310,1772,282543,5
0.04,0.5082391009971334,0.50415428951452,0.9998768971035648,0.6703215081526545,284280,4720,279595,35
0.05,0.5149394157888257,0.5075856206278876,0.9996588291155937,0.6732981465337529,284218,8592,275723,97
0.060000000000000005,0.5216537994829679,0.5110741363648628,0.9993282099080245,0.6762844391550134,284124,12504,271811,191
0.06999999999999999,0.5276084624448235,0.5142146751875641,0.9987337987795227,0.6788910326756131,283955,16059,268256,360
0.08,0.5330671965953256,0.5171318559768794,0.9981464221022458,0.6812917722977646,283788,19330,264985,527
0.09,0.5377204860805797,0.5196524154815112,0.9974113219492464,0.6833031334033715,283579,22185,262130,736
0.09999999999999999,0.5421416386754129,0.5220754192054212,0.9966340150888979,0.6852108895520078,283358,24920,259395,957
0.11,0.5461090691662417,0.5242752784541743,0.995821535972425,0.6869096864196035,283127,27407,256908,1188
0.12,0.5497230184830206,0.526299340330616,0.9950512635633013,0.68846040126202,282908,29681,254634,1407
0.13,0.5530661414276419,0.5281930826741711,0.9941860260626418,0.6898704519051478,282662,31828,252487,1653
0.14,0.5561472310641367,0.5299552833399949,0.9933313402388196,0.6911649898559272,282419,33823,250492,1896
0.15000000000000002,0.5589557357156675,0.5315774402718803,0.9924661027381602,0.6923326999019798,282173,35666,248649,2142
0.16,0.5615268276383588,0.5330788082325444,0.9915305207252519,0.6933761958228749,281907,37394,246921,2408
0.17,0.564064505917732,0.5345712121988577,0.9906230765172432,0.6944145841140851,281649,39095,245220,2666
0.18000000000000002,0.5665722877793996,0.5360546472444935,0.9897859768214832,0.6954584434103316,281411,40759,243556,2904
0.19,0.5687723123999789,0.5373703705119433,0.9889172220952113,0.6963495171119094,281164,42257,242058,3151
0.2,0.5709037511211157,0.5386531322861701,0.9880836396250637,0.6972182202417072,280927,43706,240609,3388
0.21000000000000002,0.5731055343545012,0.5399885334780116,0.9871867470938923,0.6981117761839796,280672,45213,239102,3643
0.22,0.5750259395388917,0.5411665032692352,0.9862757856602712,0.6988668862362754,280413,46564,237751,3902
0.23,0.5770096547843061,0.5423814114103651,0.9855406855072719,0.6996939818936165,280204,47901,236414,4111
0.24000000000000002,0.5788210259747112,0.5435069599487469,0.984664896329775,0.700408428768897,279955,49180,235135,4360
0.25,0.580542707911999,0.544587382468793,0.9837433832193166,0.7010710588518388,279693,50421,233894,4622
0.26,0.5822626312364807,0.5456746871014926,0.9827902150783462,0.7017285674462758,279422,51670,232645,4893
