variant,dedup,include_amount_raw,weight_factor,threshold,precision_ext,recall_ext,f1_ext,tp,tn,fp,fn,n_features
dedup_low_pos_weight,True,False,0.5,0.7000000000000001,0.6502398321597865,0.811037053971827,0.7217914727250531,230590,160282,124033,53725,29
no_dedup_auto_weight,False,False,1.0,0.8500000000000001,0.5995814016976486,0.8342788808188101,0.6977222353773452,237198,125907,158408,47117,29
baseline_dedup_auto_weight,True,False,1.0,0.8500000000000001,0.5970819782213247,0.8381513462181032,0.6973710202057004,238299,123508,160807,46016,29
dedup_high_pos_weight,True,False,1.5,0.9000000000000001,0.583754446406065,0.861769516205617,0.6960269077149465,245014,109608,174707,39301,29
dedup_with_amount_raw,True,True,1.0,0.8500000000000001,0.5622217947398794,0.8840476232347924,0.6873281495042911,251348,88601,195714,32967,30
