scaler,model,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc,pr_auc,note
standard,logistic_regression,0.8500000000000001,0.6339359513215975,0.5949256648286452,0.839414030212968,0.6963328864386678,238658,121817,162498,45657,0.7255143565038226,0.7544710996844395,
standard,knn_distance,0.05,0.5006,0.8,0.0016,0.0031936127744510976,8,4998,2,4992,0.49853216,0.501244806878022,kNN evaluated on stratified external subset n=10000
minmax,logistic_regression,0.4,0.8844573800186413,0.9995019010016817,0.7692981376290382,0.8694198713298499,218723,284206,109,65592,0.9491589942774582,0.9634381760166499,
minmax,knn_distance,0.05,0.5026,0.8095238095238095,0.0068,0.013486711622372074,34,4992,8,4966,0.50158156,0.5076808465228062,kNN evaluated on stratified external subset n=10000
robust,logistic_regression,0.8,0.5028964352918418,0.9916417910447761,0.005842111742257707,0.011615790761914753,1661,284301,14,282654,0.7825788224645529,0.807462134949045,
robust,knn_distance,0.05,0.5005,1.0,0.001,0.0019980019980019984,5,5000,0,4995,0.49847796,0.5014079838103417,kNN evaluated on stratified external subset n=10000
