threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,cost_fp1_fn5,cost_fp1_fn10,cost_fp1_fn20
0.01,284315,189,284126,0,0.5003323778203753,0.5001662441660613,1.0,0.6668144228829818,284126,284126,284126
0.02,284315,476,283839,0,0.50083709969576,0.500418900509369,1.0,0.6670389187172788,283839,283839,283839
0.03,284310,1772,282543,5,0.503107468828588,0.5015586051410154,0.9999824138719379,0.6680467310801158,282568,282593,282643
0.04,284280,4720,279595,35,0.5082391009971334,0.50415428951452,0.9998768971035648,0.6703215081526545,279770,279945,280295
0.05,284218,8592,275723,97,0.5149394157888257,0.5075856206278876,0.9996588291155937,0.6732981465337529,276208,276693,277663
0.060000000000000005,284124,12504,271811,191,0.5216537994829679,0.5110741363648628,0.9993282099080245,0.6762844391550134,272766,273721,275631
0.06999999999999999,283955,16059,268256,360,0.5276084624448235,0.5142146751875641,0.9987337987795227,0.6788910326756131,270056,271856,275456
0.08,283788,19330,264985,527,0.5330671965953256,0.5171318559768794,0.9981464221022458,0.6812917722977646,267620,270255,275525
0.09,283579,22185,262130,736,0.5377204860805797,0.5196524154815112,0.9974113219492464,0.6833031334033715,265810,269490,276850
0.09999999999999999,283358,24920,259395,957,0.5421416386754129,0.5220754192054212,0.9966340150888979,0.6852108895520078,264180,268965,278535
0.11,283127,27407,256908,1188,0.5461090691662417,0.5242752784541743,0.995821535972425,0.6869096864196035,262848,268788,280668
0.12,282908,29681,254634,1407,0.5497230184830206,0.526299340330616,0.9950512635633013,0.68846040126202,261669,268704,282774
0.13,282662,31828,252487,1653,0.5530661414276419,0.5281930826741711,0.9941860260626418,0.6898704519051478,260752,269017,285547
0.14,282419,33823,250492,1896,0.5561472310641367,0.5299552833399949,0.9933313402388196,0.6911649898559272,259972,269452,288412
0.15000000000000002,282173,35666,248649,2142,0.5589557357156675,0.5315774402718803,0.9924661027381602,0.6923326999019798,259359,270069,291489
0.16,281907,37394,246921,2408,0.5615268276383588,0.5330788082325444,0.9915305207252519,0.6933761958228749,258961,271001,295081
0.17,281649,39095,245220,2666,0.564064505917732,0.5345712121988577,0.9906230765172432,0.6944145841140851,258550,271880,298540
0.18000000000000002,281411,40759,243556,2904,0.5665722877793996,0.5360546472444935,0.9897859768214832,0.6954584434103316,258076,272596,301636
0.19,281164,42257,242058,3151,0.5687723123999789,0.5373703705119433,0.9889172220952113,0.6963495171119094,257813,273568,305078
0.2,280927,43706,240609,3388,0.5709037511211157,0.5386531322861701,0.9880836396250637,0.6972182202417072,257549,274489,308369
0.21000000000000002,280672,45213,239102,3643,0.5731055343545012,0.5399885334780116,0.9871867470938923,0.6981117761839796,257317,275532,311962
0.22,280413,46564,237751,3902,0.5750259395388917,0.5411665032692352,0.9862757856602712,0.6988668862362754,257261,276771,315791
0.23,280204,47901,236414,4111,0.5770096547843061,0.5423814114103651,0.9855406855072719,0.6996939818936165,256969,277524,318634
0.24000000000000002,279955,49180,235135,4360,0.5788210259747112,0.5435069599487469,0.984664896329775,0.700408428768897,256935,278735,322335
0.25,279693,50421,233894,4622,0.580542707911999,0.544587382468793,0.9837433832193166,0.7010710588518388,257004,280114,326334
0.26,279422,51670,232645,4893,0.5822626312364807,0.5456746871014926,0.9827902150783462,0.7017285674462758,257110,281575,330505
0.27,279152,52845,231470,5163,0.5838541758261083,0.5466901151928433,0.9818405641629883,0.7023248383205211,257285,283100,334730
0.28,278880,53966,230349,5435,0.5853472380985878,0.5476514495443111,0.9808838787964054,0.7028721784803362,257524,284699,339049
0.29000000000000004,278575,55110,229205,5740,0.5868227142430051,0.5486135728071212,0.9798111249846121,0.7033878512047166,257905,286605,344005
0.3,278268,56246,228069,6047,0.5882806042593602,0.5495707404357177,0.978731336721594,0.7038950132295877,258304,288539,349009
0.31,277984,57340,226975,6331,0.5897050806323971,0.5505080610505011,0.977732444647662,0.7044043006611139,258630,290285,353595
0.32,277667,58449,225866,6648,0.5910979019749222,0.551437542325925,0.9766174841285195,0.7048745443283476,259106,292346,358826
0.33,277332,59527,224788,6983,0.5924045512899425,0.552322154066757,0.9754392135483531,0.7052890575826356,259703,294618,364448
0.34,277012,60549,223766,7303,0.5936390974799078,0.5531632779395261,0.9743137013523733,0.7056794545359595,260281,296796,369826
0.35000000000000003,276677,61637,222678,7638,0.5949633329229903,0.5540687486858047,0.9731354307722069,0.7061058864062679,260868,299058,375438
0.36000000000000004,276348,62677,221638,7967,0.5962137066282117,0.5549312631278791,0.9719782635457151,0.7065004390893018,261473,301308,380978
0.37,275990,63665,220650,8325,0.5973216326961293,0.5557144007731959,0.9707190967764627,0.7068012881664116,262275,303900,387150
0.38,275590,64655,219660,8725,0.5983592142517982,0.5564664310954064,0.969312206531488,0.707035333807957,263285,306910,394160
0.39,275213,65694,218621,9102,0.5995234159295147,0.5572986064143012,0.9679862124755992,0.707352961964868,264131,309641,400661
0.4,274833,66607,217708,9482,0.6004607565552292,0.5579900962559462,0.9666496667428732,0.7075519787450956,265118,312528,407348
0.41000000000000003,274432,67589,216726,9883,0.6014825105956422,0.5587448438180789,0.965239259272286,0.7077796390074187,266141,315556,414386
0.42000000000000004,274015,68511,215804,10300,0.6023706100627825,0.5594209289553896,0.9637725761918998,0.7079265346826261,267304,318804,421804
