window,train_size,test_size,fraud_rate_test,threshold,precision,recall,f1,tp,tn,fp,fn
2,56747,56744,0.0013922176794022275,0.9500000000000001,0.95,0.7215189873417721,0.8201438848920861,57,56662,3,22
3,113491,56745,0.001868005991717332,0.9400000000000001,0.6197183098591549,0.8301886792452831,0.7096774193548387,88,56585,54,18
4,170236,56746,0.0010044760864201883,0.92,0.371900826446281,0.7894736842105263,0.5056179775280898,45,56613,76,12
5,226982,56744,0.0013041026364020865,0.89,0.4444444444444444,0.8108108108108109,0.5741626794258373,60,56595,75,14
